mean,sd,N,n_qc,1-3s,1-3s/2-2s/R-4s,1-3s/2-2s/R-4s/4-1s,1-3s/2-2s/R-4s/4-1s/10-x
0.0,1,1,10000,0.0018,0.0071,0.0076,0.0088
0.0,1,2,10000,0.0047,0.0191,0.0212,0.024
0.0,1,3,10000,0.0078,0.0327,0.038,0.0429
0.0,1,4,10000,0.0109,0.0497,0.0551,0.0632
0.0,1,6,10000,0.0153,0.0844,0.0997,0.1137
0.1,1,1,10000,0.0034,0.0082,0.0097,0.0108
0.1,1,2,10000,0.0059,0.0186,0.0226,0.0263
0.1,1,3,10000,0.0083,0.0318,0.0395,0.0456
0.1,1,4,10000,0.0111,0.0482,0.0545,0.0645
0.1,1,6,10000,0.0156,0.0808,0.1001,0.1162
0.2,1,1,10000,0.0034,0.0078,0.0099,0.0123
0.2,1,2,10000,0.0069,0.0194,0.0242,0.0296
0.2,1,3,10000,0.0102,0.0346,0.0442,0.0538
0.2,1,4,10000,0.0135,0.0507,0.059,0.0734
0.2,1,6,10000,0.021,0.0903,0.113,0.1379
0.30000000000000004,1,1,10000,0.0045,0.0093,0.0117,0.0155
0.30000000000000004,1,2,10000,0.0085,0.0233,0.0307,0.0412
0.30000000000000004,1,3,10000,0.0125,0.0399,0.054,0.0704
0.30000000000000004,1,4,10000,0.0179,0.0581,0.0696,0.0909
0.30000000000000004,1,6,10000,0.0261,0.1001,0.1382,0.1726
0.4,1,1,10000,0.0046,0.0118,0.0164,0.0219
0.4,1,2,10000,0.0081,0.0246,0.0356,0.0496
0.4,1,3,10000,0.0137,0.0448,0.0647,0.0882
0.4,1,4,10000,0.0186,0.0679,0.0855,0.1174
0.4,1,6,10000,0.0296,0.1199,0.1681,0.2193
0.5,1,1,10000,0.006,0.0133,0.0195,0.0274
0.5,1,2,10000,0.0119,0.0309,0.0479,0.069
0.5,1,3,10000,0.0175,0.051,0.0801,0.1118
0.5,1,4,10000,0.0255,0.0745,0.0996,0.1436
0.5,1,6,10000,0.0381,0.1314,0.1988,0.2627
0.6000000000000001,1,1,10000,0.0083,0.018,0.0252,0.0348
0.6000000000000001,1,2,10000,0.017,0.04,0.063,0.0897
0.6000000000000001,1,3,10000,0.0261,0.065,0.1037,0.1476
0.6000000000000001,1,4,10000,0.0346,0.095,0.1307,0.1911
0.6000000000000001,1,6,10000,0.0507,0.1596,0.2528,0.3311
0.7000000000000001,1,1,10000,0.0104,0.021,0.0322,0.0474
0.7000000000000001,1,2,10000,0.021,0.0483,0.0776,0.1124
0.7000000000000001,1,3,10000,0.0307,0.0787,0.1328,0.1861
0.7000000000000001,1,4,10000,0.04,0.113,0.1596,0.2333
0.7000000000000001,1,6,10000,0.0606,0.1884,0.3027,0.4032
0.8,1,1,10000,0.0139,0.0275,0.0455,0.0653
0.8,1,2,10000,0.029,0.0648,0.107,0.1532
0.8,1,3,10000,0.042,0.1025,0.176,0.2372
0.8,1,4,10000,0.0559,0.1438,0.2064,0.2905
0.8,1,6,10000,0.0836,0.2378,0.3755,0.4851
0.9,1,1,10000,0.019,0.0359,0.0594,0.0856
0.9,1,2,10000,0.0352,0.0781,0.1343,0.1876
0.9,1,3,10000,0.055,0.1286,0.226,0.2985
0.9,1,4,10000,0.0715,0.1771,0.2529,0.3535
0.9,1,6,10000,0.1017,0.2893,0.4528,0.5677
1.0,1,1,10000,0.0215,0.0423,0.0727,0.1012
1.0,1,2,10000,0.0445,0.0974,0.1678,0.2268
1.0,1,3,10000,0.0684,0.1577,0.2708,0.345
1.0,1,4,10000,0.0878,0.2184,0.3051,0.4095
1.0,1,6,10000,0.129,0.344,0.5218,0.6352
1.1,1,1,10000,0.03,0.0571,0.092,0.1289
1.1,1,2,10000,0.0577,0.1199,0.2017,0.2704
1.1,1,3,10000,0.0851,0.1883,0.321,0.4039
1.1,1,4,10000,0.1142,0.2641,0.3602,0.471
1.1,1,6,10000,0.1636,0.4067,0.6008,0.7114
1.2000000000000002,1,1,10000,0.0378,0.0722,0.1184,0.1595
1.2000000000000002,1,2,10000,0.074,0.1491,0.2488,0.3237
1.2000000000000002,1,3,10000,0.106,0.2305,0.38,0.4608
1.2000000000000002,1,4,10000,0.137,0.3119,0.4191,0.5334
1.2000000000000002,1,6,10000,0.1981,0.4721,0.6756,0.7764
1.3,1,1,10000,0.0468,0.0856,0.1428,0.1887
1.3,1,2,10000,0.0935,0.1821,0.2927,0.372
1.3,1,3,10000,0.1323,0.2826,0.4445,0.5255
1.3,1,4,10000,0.1736,0.3807,0.4923,0.6017
1.3,1,6,10000,0.2443,0.5459,0.7381,0.8308
1.4000000000000001,1,1,10000,0.0576,0.1029,0.1689,0.2162
1.4000000000000001,1,2,10000,0.1052,0.2095,0.3353,0.4121
1.4000000000000001,1,3,10000,0.1541,0.3203,0.4972,0.5762
