	1-3s	1-3s/2-2s/R-4s	1-3s/2-2s/R-4s/4-1s	1-3s/2-2s/R-4s/4-1s/10-x
n=1_total_number	2638	7278	8313	9258
n=1_probability	0.002638	0.007278	0.008313	0.009258
n=1_95%CI	0.002537 - 0.002739	0.007111 - 0.007445	0.008135 - 0.008491	0.009070 - 0.009446
n=1_ARL	379.08	137.4	120.29	108.01
n=2_total_number	5422	17889	20914	24013
n=2_probability	0.005422	0.017889	0.020914	0.024013
n=2_95%CI	0.005278 - 0.005566	0.017629 - 0.018149	0.020634 - 0.021194	0.023713 - 0.024313
n=2_ARL	184.43	55.9	47.81	41.64
n=3_total_number	8101	30920	36659	41947
n=3_probability	0.008101	0.03092	0.036659	0.041947
n=3_95%CI	0.007925 - 0.008277	0.030581 - 0.031259	0.036291 - 0.037027	0.041554 - 0.042340
n=3_ARL	123.44	32.34	27.28	23.84
n=4_total_number	10696	46339	51144	59117
n=4_probability	0.010696	0.046339	0.051144	0.059117
n=4_95%CI	0.010494 - 0.010898	0.045927 - 0.046751	0.050712 - 0.051576	0.058655 - 0.059579
n=4_ARL	93.49	21.58	19.55	16.92
n=6_total_number	15924	82453	98892	112845
n=6_probability	0.015924	0.082453	0.098892	0.112845
n=6_95%CI	0.015679 - 0.016169	0.081914 - 0.082992	0.098307 - 0.099477	0.112225 - 0.113465
n=6_ARL	62.8	12.13	10.11	8.86
