mean,sd,N,n_qc,1-3s,1-3s/2-2s/R-4s,1-3s/2-2s/R-4s/4-1s,1-3s/2-2s/R-4s/4-1s/10-x
0,1.0,1,10000,0.0028,0.0085,0.0091,0.0101
0,1.0,2,10000,0.0054,0.0192,0.022,0.0249
0,1.0,3,10000,0.0077,0.0303,0.0351,0.0396
0,1.0,4,10000,0.0107,0.0458,0.0497,0.056
0,1.0,6,10000,0.0155,0.0814,0.0968,0.1101
0,1.1,1,10000,0.0071,0.0154,0.0172,0.0182
0,1.1,2,10000,0.0122,0.0355,0.0407,0.0444
0,1.1,3,10000,0.018,0.0619,0.0705,0.0762
0,1.1,4,10000,0.0236,0.0871,0.0943,0.1025
0,1.1,6,10000,0.0344,0.1501,0.1727,0.183
0,1.2000000000000002,1,10000,0.0119,0.0281,0.0312,0.0323
0,1.2000000000000002,2,10000,0.0227,0.0625,0.07,0.0729
0,1.2000000000000002,3,10000,0.035,0.103,0.1149,0.1196
0,1.2000000000000002,4,10000,0.0472,0.1499,0.1604,0.1675
0,1.2000000000000002,6,10000,0.0693,0.243,0.2712,0.2821
0,1.3000000000000003,1,10000,0.0185,0.0426,0.0461,0.0476
0,1.3000000000000003,2,10000,0.0404,0.0948,0.1039,0.1071
0,1.3000000000000003,3,10000,0.0569,0.1467,0.1636,0.1693
0,1.3000000000000003,4,10000,0.0788,0.2075,0.2208,0.228
0,1.3000000000000003,6,10000,0.1169,0.3307,0.3627,0.3724
0,1.4000000000000004,1,10000,0.0316,0.0634,0.0678,0.0689
0,1.4000000000000004,2,10000,0.0668,0.1383,0.1498,0.152
0,1.4000000000000004,3,10000,0.0955,0.211,0.2285,0.2328
0,1.4000000000000004,4,10000,0.1261,0.289,0.3023,0.3077
0,1.4000000000000004,6,10000,0.1784,0.4265,0.4592,0.4688
0,1.5000000000000004,1,10000,0.049,0.0901,0.0958,0.0963
0,1.5000000000000004,2,10000,0.0956,0.181,0.1947,0.1967
0,1.5000000000000004,3,10000,0.1381,0.2725,0.295,0.2978
0,1.5000000000000004,4,10000,0.1781,0.3638,0.3787,0.3835
0,1.5000000000000004,6,10000,0.2535,0.524,0.5557,0.561
0,1.6000000000000005,1,10000,0.0639,0.118,0.1247,0.1256
0,1.6000000000000005,2,10000,0.1233,0.2264,0.2414,0.2441
0,1.6000000000000005,3,10000,0.1728,0.3359,0.3572,0.3618
0,1.6000000000000005,4,10000,0.2257,0.4368,0.4518,0.4563
0,1.6000000000000005,6,10000,0.3161,0.5987,0.6286,0.6346
0,1.7000000000000006,1,10000,0.0778,0.1377,0.1449,0.1457
0,1.7000000000000006,2,10000,0.1529,0.2703,0.2875,0.2893
0,1.7000000000000006,3,10000,0.2219,0.3893,0.4151,0.4173
0,1.7000000000000006,4,10000,0.2828,0.491,0.5071,0.5106
0,1.7000000000000006,6,10000,0.3905,0.6595,0.6859,0.6903
0,1.8000000000000007,1,10000,0.0942,0.163,0.1713,0.1721
0,1.8000000000000007,2,10000,0.1812,0.3066,0.3249,0.3265
0,1.8000000000000007,3,10000,0.2524,0.4345,0.4616,0.4639
